Configuration 1:  

1 - 2 	 T:  0.7839999999999999
1 - 3 	 T:  0.8099999999999999
1 - 4 	 T:  0.8093333333333333
1 - 5 	 T:  0.8029999999999999
1 - 6 	 T:  0.8103999999999999
1 - 7 	 T:  0.8106666666666666
1 - 8 	 T:  0.8045714285714285
1 - 9 	 T:  0.8085
1 - 10 	 T:  0.808
1 - 11 	 T:  0.8052000000000001
1 - 12 	 T:  0.8083636363636365
1 - 13 	 T:  0.8076666666666666
1 - 14 	 T:  0.8024615384615384
1 - 15 	 T:  0.8094285714285715
1 - 16 	 T:  0.8072
1 - 17 	 T:  0.8075000000000001
1 - 18 	 T:  0.808
1 - 19 	 T:  0.8073333333333333
1 - 20 	 T:  0.8077894736842106
1 - 21 	 T:  0.8075999999999999
1 - 22 	 T:  0.8078095238095238
1 - 23 	 T:  0.8074545454545454
1 - 24 	 T:  0.8069565217391304
1 - 25 	 T:  0.8071666666666667
1 - 26 	 T:  0.8072
1 - 27 	 T:  0.8033846153846154
1 - 28 	 T:  0.8075555555555555
1 - 29 	 T:  0.807
1 - 30 	 T:  0.8068965517241379
1 - 31 	 T:  0.8071999999999999
1 - 32 	 T:  0.8067096774193548
1 - 33 	 T:  0.8069999999999999
1 - 34 	 T:  0.8063030303030303
1 - 35 	 T:  0.8068235294117647
1 - 36 	 T:  0.8067428571428572
1 - 37 	 T:  0.8063333333333333
1 - 38 	 T:  0.8069189189189189
1 - 39 	 T:  0.8066315789473684
1 - 40 	 T:  0.8067692307692307
1 - 41 	 T:  0.8068000000000002
1 - 42 	 T:  0.8063414634146342
1 - 43 	 T:  0.8066666666666668
1 - 44 	 T:  0.8064186046511629
1 - 45 	 T:  0.8063636363636365
1 - 46 	 T:  0.8062222222222223
1 - 47 	 T:  0.8066956521739131
1 - 48 	 T:  0.8042553191489362
1 - 49 	 T:  0.8068333333333334
1 - 50 	 T:  0.8066938775510205
2 - 3 	 T:  0.836
2 - 4 	 T:  0.8220000000000001
2 - 5 	 T:  0.8093333333333333
2 - 6 	 T:  0.817
2 - 7 	 T:  0.8160000000000001
2 - 8 	 T:  0.8079999999999999
2 - 9 	 T:  0.812
2 - 10 	 T:  0.811
2 - 11 	 T:  0.8075555555555556
2 - 12 	 T:  0.8108000000000001
2 - 13 	 T:  0.8098181818181818
2 - 14 	 T:  0.8039999999999999
2 - 15 	 T:  0.8113846153846154
2 - 16 	 T:  0.8088571428571428
2 - 17 	 T:  0.8090666666666667
2 - 18 	 T:  0.8095
2 - 19 	 T:  0.8087058823529412
2 - 20 	 T:  0.8091111111111111
2 - 21 	 T:  0.8088421052631578
2 - 22 	 T:  0.8089999999999999
2 - 23 	 T:  0.8085714285714286
2 - 24 	 T:  0.8079999999999999
2 - 25 	 T:  0.8081739130434783
2 - 26 	 T:  0.8081666666666667
2 - 27 	 T:  0.80416
2 - 28 	 T:  0.8084615384615385
2 - 29 	 T:  0.8078518518518519
2 - 30 	 T:  0.8077142857142857
2 - 31 	 T:  0.8079999999999999
2 - 32 	 T:  0.8074666666666667
2 - 33 	 T:  0.807741935483871
2 - 34 	 T:  0.807
2 - 35 	 T:  0.8075151515151515
2 - 36 	 T:  0.8074117647058824
2 - 37 	 T:  0.8069714285714286
2 - 38 	 T:  0.8075555555555556
2 - 39 	 T:  0.8072432432432433
2 - 40 	 T:  0.8073684210526316
2 - 41 	 T:  0.8073846153846155
2 - 42 	 T:  0.8069
2 - 43 	 T:  0.8072195121951219
2 - 44 	 T:  0.8069523809523809
2 - 45 	 T:  0.8068837209302325
2 - 46 	 T:  0.8067272727272726
2 - 47 	 T:  0.8071999999999999
2 - 48 	 T:  0.804695652173913
2 - 49 	 T:  0.8073191489361701
2 - 50 	 T:  0.8071666666666667
3 - 4 	 T:  0.808
3 - 5 	 T:  0.7959999999999999
3 - 6 	 T:  0.8106666666666665
3 - 7 	 T:  0.8109999999999999
3 - 8 	 T:  0.8023999999999999
3 - 9 	 T:  0.8079999999999999
